name,price
مادربرد Msi مدل MAG X570S TOMAHAWK MAX WIFI,"69,900,000"
مادربرد Msi مدل MAG Z590 ACE,"119,000,000"
مادربرد Msi مدل MEG Z690 UNIFY,"165,000,000"
کارت صدا رویال USB ولوم دار مدل RS-702,"770,000"
