name,price
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i7 - B1500CBA-BQ0268 رم 16GB حافظه 1TB HDD+256GB SSD گرافیک Intel - مشکی (به همراه کیف و ماوس),"
                                        36,619
                                   
                                "
لپ تاپ گیمینگ ایسوس 15.6 اینچی FHD مدل Intel i5 - FX506HF-HN014 رم 16GB حافظه 512GB SSD گرافیک RTX2050 - خاکستری تیره,"
                                        36,819
                                   
                                "
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i7 - B1500CBA-BQ0268 رم 32GB حافظه 1TB HDD+512GB SSD گرافیک Intel - مشکی (به همراه کیف و ماوس),"
                                        38,779
                                   
                                "
گوشی موبایل جی پلاس مدل S10 2022 (RAM 4) ظرفیت 64GB - مشکی,"
                                        3,266
                                   
                                "
گوشی موبایل جی پلاس مدل X20 (RAM 4) ظرفیت 128GB - آبی,"
                                        5,235
                                   
                                "
گوشی موبایل جی پلاس مدل X20 (RAM 4) ظرفیت 128GB - مشکی,"
                                        5,239
                                   
                                "
گوشی موبایل جی ال ایکس مدل General Luxe 105 دو سیم کارت - مشکی,"
                                        511
                                   
                                "
گوشی موبایل جی ال ایکس مدل General Luxe 106 دو سیم کارت - مشکی,"
                                        522
                                   
                                "
گوشی موبایل جی ال ایکس مدل General Luxe 110 دو سیم کارت - خاکستری,"
                                        623
                                   
                                "
گوشی موبایل جی ال ایکس مدل General Luxe 125 دو سیم کارت - مشکی,"
                                        655
                                   
                                "
گوشی موبایل جی ال ایکس مدل General Luxe 150 دو سیم کارت - مشکی,"
                                        782
                                   
                                "
گوشی موبایل هایسنس مدل H50 HLTE322E (RAM 6) ظرفیت 128GB -  آبی مشکی,"
                                        6,390
                                   
                                "
ایرپاد بی سیم Honor X3 Lite مدل WT50106-01 - سفید - اصلی (گارانتی 12 ماهه شرکتی),"
                                        818
                                   
                                "
ایرپاد بی سیم Honor X3 مدل MLN-00 - خاکستری - اصلی (گارانتی 12 ماهه شرکتی),"
                                        1,419
                                   
                                "
ایرپاد بی سیم Honor X3 مدل MLN-00 - سفید - اصلی (گارانتی 12 ماهه شرکتی),"
                                        1,419
                                   
                                "
گوشی موبایل آنر مدل Honor X6 (RAM 4) ظرفیت 64GB - نقره ای,"
                                        4,950
                                   
                                "
گوشی موبایل آنر مدل Honor X6 (RAM 4) ظرفیت 64GB - مشکی,"
                                        5,050
                                   
                                "
گوشی موبایل آنر مدل Honor X7A (RAM 4) ظرفیت 128GB - نقره ای,"
                                        5,799
                                   
                                "
گوشی موبایل آنر مدل Honor X7A (RAM 4) ظرفیت 128GB - آبی اقیانوسی,"
                                        5,829
                                   
                                "
گوشی موبایل آنر مدل Honor X7A (RAM 4) ظرفیت 128GB - مشکی,"
                                        5,839
                                   
                                "
گوشی موبایل آنر مدل Honor X7 (RAM 6) ظرفیت 128GB - مشکی,"
                                        8,039
                                   
                                "
گوشی موبایل آنر مدل Honor X8 (RAM 6) ظرفیت 128GB - آبی اقیانوسی,"
                                        8,250
                                   
                                "
گوشی موبایل آنر مدل Honor X8 (RAM 6) ظرفیت 128GB - مشکی,"
                                        8,350
                                   
                                "
گوشی موبایل آنر مدل Honor X8A (RAM 8) ظرفیت 128GB - نقره ای,"
                                        8,749
                                   
                                "
گوشی موبایل آنر مدل Honor X8A (RAM 8) ظرفیت 128GB - فیروزه ای,"
                                        8,759
                                   
                                "
گوشی موبایل آنر مدل Honor X8A (RAM 8) ظرفیت 128GB - مشکی,"
                                        8,799
                                   
                                "
گوشی موبایل آنر مدل Honor X9A 5G (RAM 8) ظرفیت 256GB - سبز,"
                                        13,419
                                   
                                "
گوشی موبایل آنر مدل Honor X9A 5G (RAM 8) ظرفیت 256GB - نقره ای,"
                                        13,429
                                   
                                "
گوشی موبایل آنر مدل Honor X9A 5G (RAM 8) ظرفیت 256GB - مشکی,"
                                        13,469
                                   
                                "
لپ تاپ لنوو 15.6 اینچی HD مدل Intel i3 - Ideapad 3 15IML05 رم 4GB حافظه 1TB HDD گرافیک Integrated - خاکستری,"
                                        16,700
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i3 - V15 G2 ITL رم 8GB حافظه 512GB SSD گرافیک Integrated - مشکی (به همراه کیف),"
                                        17,600
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل AMD R5 - V15 G3 ABA رم 8GB حافظه 512GB SSD گرافیک Integrated - مشکی,"
                                        19,999
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل AMD R5 - V15 G3 ABA رم 12GB حافظه 512GB SSD گرافیک Integrated - مشکی,"
                                        20,349
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i5 - Ideapad 3 15ITL6 رم 8GB حافظه 512GB SSD گرافیک MX350 - آبی,"
                                        20,800
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i5 - V15 G2 ITL رم 12GB حافظه 512GB SSD گرافیک MX350  - مشکی (به همراه کیف),"
                                        22,399
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل AMD R7 - Ideapad 3 15ALC6 رم 12GB حافظه 1TB HDD+256GB SSD گرافیک Radeon - خاکستری,"
                                        23,039
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i5 - Ideapad 5 15ITL05 رم 8GB حافظه 1TB HDD+128GB SSD گرافیک MX450 - خاکستری - گارانتی 24 ماهه سازگار ارقام,"
                                        24,799
                                   
                                "
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i5 - ThinkBook 15 G2 ITL رم 8GB حافظه 256GB SSD گرافیک MX450 - خاکستری,"
                                        28,849
                                   
                                "
گوشی موبایل نوکیا مدل 105-2019 دو سیم کارت - مشکی - اصلی (وی دو سل-FA),"
                                        699
                                   
                                "
گوشی موبایل نوکیا مدل 2022-105 دو سیم کارت - ذغالی - اصلی (وی دوسل-FA),"
                                        699
                                   
                                "
گوشی موبایل نوکیا مدل 105-2019 دو سیم کارت - مشکی - اصلی (فامتل-FA),"
                                        734
                                   
                                "
گوشی موبایل نوکیا مدل 2022-105 دو سیم کارت - ذغالی - اصلی (لیان همراه-FA),"
                                        740
                                   
                                "
گوشی موبایل نوکیا مدل 106 دو سیم کارت با ظرفیت 4 مگابایت- خاکستری - اصلی (فامتل-FA),"
                                        769
                                   
                                "
گوشی موبایل نوکیا مدل 106 دو سیم کارت با ظرفیت 4 مگابایت- خاکستری - اصلی (سامتل-FA),"
                                        780
                                   
                                "
گوشی موبایل نوکیا مدل 2018-106 دو سیم کارت با ظرفیت 4 مگابایت - خاکستری - اصلی (لیان همراه-FA),"
                                        795
                                   
                                "
گوشی موبایل نوکیا مدل 2022- 110 دو سیم کارت - آبی - اصلی (وی دوسل-FA),"
                                        1,019
                                   
                                "
گوشی موبایل نوکیا مدل 2022- 110 دو سیم کارت - سبز - اصلی (وی دوسل-FA),"
                                        1,019
                                   
                                "
گوشی موبایل نوکیا مدل 110 دو سیم کارت - مشکی - اصلی (وی دو سل-FA),"
                                        1,020
                                   
                                "
گوشی موبایل نوکیا مدل 2022-110 دو سیم کارت - آبی - اصلی (لیان همراه-FA),"
                                        1,035
                                   
                                "
گوشی موبایل نوکیا مدل 2017-130- مشکی - اصلی (لیان همراه-FA),"
                                        1,099
                                   
                                "
